rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-20;-20;984;140;-19;-363;-0.003048;-0.003048;0.149938;0.053912;-0.007317;-0.139786;9.653730;389.525352
-36;-28;972;137;-22;-361;-0.005549;-0.004316;0.149835;0.053135;-0.008533;-0.140014;9.542551;386.747980
-28;-20;976;139;-20;-360;-0.004301;-0.003072;0.149907;0.053957;-0.007764;-0.139744;9.577237;386.420755
-28;-28;992;139;-21;-366;-0.004231;-0.004231;0.149881;0.053179;-0.008034;-0.140026;9.735944;392.068872
-24;-20;980;141;-20;-362;-0.003672;-0.003060;0.149924;0.054369;-0.007712;-0.139587;9.615400;389.005141
-24;-32;972;140;-21;-362;-0.003701;-0.004934;0.149873;0.054027;-0.008104;-0.139698;9.540132;388.696540
-24;-20;976;141;-22;-361;-0.003687;-0.003072;0.149923;0.054485;-0.008501;-0.139496;9.576193;388.182947
-44;-136;980;140;-16;-363;-0.006664;-0.020598;0.148429;0.053930;-0.006163;-0.139834;9.712209;389.390549
60;-16;968;112;17;-377;0.009278;-0.002474;0.149692;0.042677;0.006478;-0.143655;9.512350;393.652131
108;-12;944;93;10;-378;0.017048;-0.001894;0.149016;0.035824;0.003852;-0.145608;9.318610;389.400822
100;-80;976;98;22;-382;0.015238;-0.012191;0.148725;0.037217;0.008355;-0.145069;9.653331;394.983544
72;-68;988;107;26;-381;0.010877;-0.010272;0.149252;0.040470;0.009834;-0.144102;9.737525;396.592990
84;-68;964;116;41;-383;0.012989;-0.010515;0.149066;0.043254;0.015288;-0.142812;9.512835;402.276025
68;-112;1100;123;32;-373;0.009208;-0.015166;0.148947;0.046820;0.012181;-0.141984;10.863573;394.058371
52;-52;1100;120;-27;-363;0.007075;-0.007075;0.149666;0.046964;-0.010567;-0.142066;10.811395;383.272749
52;68;952;120;-45;-355;0.008160;0.010671;0.149397;0.047692;-0.017884;-0.141087;9.373598;377.425489
56;148;984;112;-74;-354;0.008428;0.022275;0.148097;0.044374;-0.029319;-0.140255;9.773723;378.597412
48;100;964;111;-66;-353;0.007420;0.015458;0.149017;0.044296;-0.026338;-0.140869;9.515989;375.880300
44;36;1016;125;-20;-362;0.006486;0.005307;0.149766;0.048892;-0.007823;-0.141592;9.979143;383.495763
-24;-224;1004;149;73;-373;-0.003499;-0.032654;0.146361;0.054747;0.026823;-0.137052;10.090696;408.238901
-36;-364;952;152;202;-365;-0.005295;-0.053537;0.140020;0.051352;0.068244;-0.123312;10.001322;443.996622
-8;-632;756;157;314;-323;-0.001218;-0.096204;0.115080;0.049366;0.098732;-0.101562;9.663527;477.047167
-8;-796;616;168;389;-276;-0.001192;-0.118623;0.091799;0.049833;0.115387;-0.081869;9.870851;505.688639
-48;-904;484;169;460;-203;-0.007014;-0.132095;0.070723;0.047790;0.130080;-0.057405;10.066879;530.443211
-20;-1024;200;165;511;-127;-0.002875;-0.147191;0.028748;0.044854;0.138911;-0.034524;10.233634;551.792533
-44;-1024;104;162;536;-73;-0.006406;-0.149096;0.015143;0.043033;0.142380;-0.019391;10.102887;564.684868
-84;-1092;-64;170;541;-38;-0.011485;-0.149303;-0.008750;0.044866;0.142781;-0.010029;10.758821;568.352883
-104;-1084;-188;180;549;16;-0.014117;-0.147138;-0.025518;0.046715;0.142480;0.004152;10.837197;577.976643
-112;-988;-320;190;539;62;-0.016083;-0.141879;-0.045953;0.049577;0.140643;0.016178;10.243552;574.860853
-144;-948;-424;206;530;107;-0.020602;-0.135631;-0.060662;0.053404;0.137399;0.027739;10.281636;578.606084
-188;-884;-552;202;516;162;-0.026629;-0.125211;-0.078186;0.052483;0.134067;0.042091;10.385350;577.324865
-136;-704;-768;210;452;271;-0.019416;-0.100506;-0.109643;0.055525;0.119511;0.071653;10.303687;567.313846
-180;-488;-940;198;384;348;-0.025132;-0.068137;-0.131247;0.053536;0.103828;0.094094;10.535393;554.764815
