rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-8;8;996;66;-100;-341;-0.011768;0.011768;1.465114;9.900000;-15.000001;-51.150002;9.768054;361.437408
-8;-4;988;65;-96;-344;-0.011768;-0.005884;1.453346;9.750000;-14.400001;-51.600002;9.689368;363.011019
-8;60;1028;78;-86;-342;-0.011768;0.088260;1.512185;11.700000;-12.900001;-51.300002;10.098697;361.170320
-40;-52;1056;79;-83;-342;-0.058840;-0.076492;1.553373;11.850000;-12.450000;-51.300002;10.375788;360.685459
88;-68;872;90;-70;-342;0.129448;-0.100028;1.282710;13.500001;-10.500000;-51.300002;8.620665;360.505201
4;-36;940;93;-74;-344;0.005884;-0.052956;1.382738;13.950001;-11.100000;-51.600002;9.225093;363.951920
56;-32;1060;99;-59;-347;0.082376;-0.047072;1.559258;14.850001;-8.850000;-52.050002;10.414276;365.637799
20;-8;908;119;-37;-349;0.029420;-0.011768;1.335666;17.850001;-5.550000;-52.350002;8.906944;370.581975
-4;-28;956;138;-19;-350;-0.005884;-0.041188;1.406274;20.700001;-2.850000;-52.500002;9.379261;376.702801
-16;16;952;146;7;-352;-0.023536;0.023536;1.400390;21.900001;1.050000;-52.800002;9.338568;381.141706
12;-44;984;153;22;-356;0.017652;-0.064724;1.447462;22.950001;3.300000;-53.400002;9.660103;388.109521
-28;-56;812;160;35;-353;-0.041188;-0.082376;1.194450;24.000001;5.250000;-52.950002;7.986636;389.145217
0;-16;980;169;59;-354;0.000000;-0.023536;1.441578;25.350001;8.850000;-53.100002;9.611798;396.683753
36;-40;1004;173;65;-354;0.052956;-0.058840;1.476882;25.950001;9.750000;-53.100002;9.860011;399.336950
-4;-8;988;169;61;-355;-0.005884;-0.011768;1.453346;25.350001;9.150000;-53.250002;9.689368;397.878122
-8;0;1012;167;62;-354;-0.011768;0.000000;1.488650;25.050001;9.300000;-53.100002;9.924641;396.294083
48;0;896;171;65;-354;0.070608;0.000000;1.318014;25.650001;9.750000;-53.100002;8.799358;398.474591
4;-32;984;164;70;-354;0.005884;-0.047072;1.447462;24.600001;10.500000;-53.100002;9.654925;396.373561
-36;-44;992;171;72;-357;-0.052956;-0.064724;1.459230;25.650001;10.800000;-53.550002;9.744159;402.335681
8;-8;1012;175;106;-355;0.011768;-0.011768;1.488650;26.250001;15.900001;-53.250002;9.924951;409.738941
20;0;980;170;165;-352;0.029420;0.000000;1.441578;25.500001;24.750001;-52.800002;9.612519;424.298244
20;-20;1040;131;245;-347;0.029420;-0.029420;1.529838;19.650001;36.750001;-52.050002;10.202688;444.516591
-44;-16;996;91;306;-345;-0.064724;-0.023536;1.465114;13.650001;45.900002;-51.750002;9.778209;470.044679
-16;-16;1036;36;336;-342;-0.023536;-0.023536;1.523954;5.400000;50.400002;-51.300002;10.162113;480.786855
8;-36;988;-40;368;-334;0.011768;-0.052956;1.453346;-6.000000;55.200002;-50.100002;9.695718;498.577978
64;132;928;-119;374;-324;0.094144;0.194172;1.365086;-17.850001;56.100002;-48.600002;9.213576;508.933198
-44;12;1036;-176;360;-324;-0.064724;0.017652;1.523954;-26.400001;54.000002;-48.600002;10.169530;515.317378
-4;-4;1020;-226;336;-322;-0.005884;-0.005884;1.500418;-33.900001;50.400002;-48.300002;10.002938;517.354811
-116;-16;820;-268;291;-324;-0.170636;-0.023536;1.206218;-40.200002;43.650002;-48.600002;8.123033;511.352129
-32;12;988;-322;217;-319;-0.047072;0.017652;1.453346;-48.300002;32.550001;-47.850002;9.694765;502.527611
-184;-44;1044;-349;176;-315;-0.270664;-0.064724;1.535722;-52.350002;26.400001;-47.250002;10.404888;501.998008
-24;-56;960;-353;107;-316;-0.035304;-0.082376;1.412158;-52.950002;16.050001;-47.400002;9.433325;485.709790
-40;-48;1016;-339;57;-317;-0.058840;-0.070608;1.494534;-50.850002;8.550000;-47.550002;9.982381;467.609880
-132;-276;720;-301;-17;-319;-0.194172;-0.405995;1.059118;-45.150002;-2.550000;-47.850002;7.671785;438.920266
-48;-76;1016;-203;-93;-339;-0.070608;-0.111796;1.494534;-30.450001;-13.950001;-50.850002;10.002476;405.929797
