rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-60;32;992;74;-99;-365;-1474292.608583;786289.381244;24374972.168574;11.100000;-14.850001;-54.750002;162881144.187443;385.359572
-60;40;988;74;-99;-365;-1474292.608583;982861.764055;24276684.964669;11.100000;-14.850001;-54.750002;162275067.124286;385.359572
-60;32;992;74;-96;-361;-1474292.608583;786289.381244;24374972.168574;11.100000;-14.400001;-54.150002;162881144.187443;380.805725
-64;36;1004;74;-97;-363;-1572578.762489;884575.535150;24669828.980291;11.100000;-14.550001;-54.450002;164904806.362469;382.954305
-60;40;1000;74;-97;-363;-1474292.608583;982861.764055;24571544.176385;11.100000;-14.550001;-54.450002;164235642.487375;382.954305
-56;36;988;74;-95;-363;-1376006.454678;884575.535150;24276684.964669;11.100000;-14.250001;-54.450002;162211556.440470;382.452611
-56;28;1000;71;-95;-362;-1376006.454678;688003.227339;24571544.176385;10.650000;-14.250001;-54.300002;164131042.123937;380.933065
-56;48;992;73;-96;-363;-1376006.454678;1179434.071866;24374972.168574;10.950000;-14.400001;-54.450002;162948346.175917;382.510131
-48;44;988;76;-97;-365;-1179434.071866;1081147.917961;24276684.964669;11.400000;-14.550001;-54.750002;162195674.881751;385.240185
-64;36;1008;77;-97;-363;-1572578.762489;884575.535150;24768116.184196;11.550000;-14.550001;-54.450002;165558315.760589;383.545304
-60;48;988;79;-95;-361;-1474292.608583;1179434.071866;24276684.964669;11.850000;-14.250001;-54.150002;162333263.405621;381.558646
-60;40;980;82;-87;-363;-1474292.608583;982861.764055;24080112.956858;12.300000;-13.050001;-54.450002;160968092.024613;382.180586
-84;40;984;94;-84;-360;-2064009.682016;982861.764055;24178397.760763;14.100001;-12.600001;-54.000002;161908207.824010;381.434136
-48;36;948;103;-75;-356;-1179434.071866;884575.535150;23293822.525613;15.450001;-11.250000;-53.400002;155602865.321684;378.113740
-68;4;996;114;-66;-356;-1670864.916394;98286.172656;24473256.972480;17.100001;-9.900000;-53.400002;163536160.970182;379.589252
-40;80;1040;123;-53;-353;-982861.764055;1965723.528111;25554404.215441;18.450001;-7.950000;-52.950002;170991566.882440;377.553970
-140;-24;1000;134;-46;-351;-3440016.136694;-589717.035933;24571544.176385;20.100001;-6.900000;-52.650002;165454553.876358;378.514201
-72;48;1028;145;-35;-343;-1769151.070300;1179434.071866;25259547.403724;21.750001;-5.250000;-51.450002;168992523.728633;374.030747
-80;-8;1008;155;-7;-345;-1965723.528111;-196572.345311;24768116.184196;23.250001;-1.050000;-51.750002;165645168.279967;378.284285
-72;40;992;162;29;-351;-1769151.070300;982861.764055;24374972.168574;24.300001;4.350000;-52.650002;163058971.395437;387.667383
-44;40;1028;173;66;-353;-1081147.917961;982861.764055;25259547.403724;25.950001;9.900000;-52.950002;168678468.919334;398.615103
-20;-28;828;164;113;-362;-491430.882028;-688003.227339;20345237.608447;24.600001;16.950001;-54.300002;135751981.879358;413.169457
-72;20;1000;162;140;-363;-1769151.070300;491430.882028;24571544.176385;24.300001;21.000001;-54.450002;164267009.575249;421.441574
284;592;864;153;161;-366;6978318.277293;14546353.778020;21229812.843597;22.950001;24.150001;-54.900002;177763667.214350;428.119142
-12;20;1000;144;180;-371;-294858.517967;491430.882028;24571544.176385;21.600001;27.000001;-55.650002;163854838.339142;436.780265
-48;-40;1004;127;208;-378;-1179434.071866;-982861.764055;24669828.980291;19.050001;31.200001;-56.700002;164783695.976052;449.752154
