time,wdir,gust,ws,rain,press,atemp,hum,dew
2019-02-07 14:14:15,120,8.16,0,0,1023.08,10.6,61.215,3.463
2019-02-07 14:24:10,75,3.42,0,0,1023.18,10.5,61.299,3.388
2019-02-07 14:34:16,115,3.04,0,0,1023.24,10.5,61.451,3.423
2019-02-07 14:44:12,55,7.1,3.94,0,1023.33,10.5,61.497,3.434
2019-02-07 14:54:11,116,6.02,4.37,0,1023.51,10.4,61.619,3.367
2019-02-07 15:04:17,107,8.83,3.93,0,1023.61,10.4,62.008,3.456
2019-02-07 15:14:13,127,11.2,3.94,0,1023.65,10.5,62.39,3.637
2019-02-07 15:24:18,129,10.31,3.48,0,1023.73,10.5,62.39,3.637
2019-02-07 15:34:13,118,5.4,2.62,0,1023.93,10.5,62.283,3.613
2019-02-07 15:44:15,86,6.73,5.24,0,1024.13,10.5,62.428,3.646
2019-02-07 15:54:15,94,12.11,3.49,0,1024.21,10.6,62.748,3.813
2019-02-07 16:04:16,92,10.3,2.62,0,1024.23,10.9,63.679,4.306
2019-02-07 16:14:21,111,12.85,10.92,0,1024.39,11.5,65.03,5.174
2019-02-07 16:24:17,103,13.55,6.99,0,1024.41,12.1,65.289,5.801
2019-02-07 16:34:17,107,16.34,8.73,0,1024.29,12.5,65.35,6.194
2019-02-07 16:44:17,123,17.64,11.8,0,1024.43,13.2,65.922,6.985
2019-02-07 16:54:23,130,14.22,7.43,0,1024.45,13.9,66.227,7.718
2019-02-07 17:04:19,114,20.77,6.56,0,1024.39,14.3,65.442,7.923
2019-02-07 17:14:24,129,23.39,11.79,0,1024.39,14.5,63.962,7.778
2019-02-07 17:24:24,124,24.92,8.74,0,1024.41,14.5,62.649,7.475
2019-02-07 17:34:20,130,26.78,11.37,0,1024.45,14.4,61.467,7.103
2019-02-07 17:44:25,124,26.45,10.48,0,1024.43,14.3,60.483,6.774
2019-02-07 17:54:21,127,24.86,10.93,0,1024.69,14.2,59.605,6.468
2019-02-07 18:04:26,122,17.31,11.77,0,1024.61,14.2,59.857,6.529
2019-02-07 18:14:22,121,30.63,6.11,0,1024.57,14.2,60.002,6.564
2019-02-07 18:24:27,114,20.08,4.81,0,1024.39,14.3,60.246,6.717
2019-02-07 18:34:23,127,23.54,13.1,0,1024.51,14.5,60.315,6.922
2019-02-07 18:44:24,141,23.05,12.66,0,1024.61,14.7,60.36,7.121
2019-02-07 18:54:24,134,24.44,17.02,0,1024.61,14.8,59.613,7.033
2019-02-07 19:04:24,140,22.13,13.55,0,1024.63,14.8,59.178,6.927
2019-02-07 19:14:29,130,22.89,19.66,0,1024.45,14.9,58.69,6.9
2019-02-07 19:24:25,130,23.14,13.11,0,1024.55,14.9,58.735,6.911
